Epoch [0] | Time: 15.2127318s | Clustering Loss: 7.0792079 | ResNet Loss: 0.3666322
####################### 
Epoch [1] | Time: 12.1043253s | Clustering Loss: 0.5287877 | ResNet Loss: 0.1963310
####################### 
Epoch [2] | Time: 12.1839056s | Clustering Loss: 0.7994394 | ResNet Loss: 0.1438450
####################### 
Epoch [3] | Time: 12.2303491s | Clustering Loss: 0.6281940 | ResNet Loss: 0.1130635
####################### 
Epoch [4] | Time: 12.2525382s | Clustering Loss: 0.6241918 | ResNet Loss: 0.0928858
####################### 
Epoch [5] | Time: 12.2843854s | Clustering Loss: 0.4737849 | ResNet Loss: 0.0786825
####################### 
Epoch [6] | Time: 12.2809618s | Clustering Loss: 0.6053555 | ResNet Loss: 0.0683601
####################### 
Epoch [7] | Time: 12.2709289s | Clustering Loss: 0.5952498 | ResNet Loss: 0.0602539
####################### 
Epoch [8] | Time: 12.2880025s | Clustering Loss: 0.5402322 | ResNet Loss: 0.0537975
####################### 
Epoch [9] | Time: 12.2847300s | Clustering Loss: 0.5877347 | ResNet Loss: 0.0486666
####################### 
Epoch [10] | Time: 12.2904456s | Clustering Loss: 0.5999351 | ResNet Loss: 0.0444204
####################### 
Epoch [11] | Time: 12.3018272s | Clustering Loss: 0.5051281 | ResNet Loss: 0.0407721
####################### 
Epoch [12] | Time: 12.3012593s | Clustering Loss: 0.5209976 | ResNet Loss: 0.0377264
####################### 
Epoch [13] | Time: 12.3045776s | Clustering Loss: 0.5325711 | ResNet Loss: 0.0350700
####################### 
Epoch [14] | Time: 12.2804415s | Clustering Loss: 0.5259629 | ResNet Loss: 0.0327655
####################### 
Epoch [15] | Time: 12.3126907s | Clustering Loss: 0.6062672 | ResNet Loss: 0.0307609
####################### 
Epoch [16] | Time: 12.3040378s | Clustering Loss: 0.4894045 | ResNet Loss: 0.0289806
####################### 
Epoch [17] | Time: 12.3043687s | Clustering Loss: 0.5367379 | ResNet Loss: 0.0273782
####################### 
Epoch [18] | Time: 12.2889900s | Clustering Loss: 0.5182157 | ResNet Loss: 0.0259460
####################### 
Epoch [19] | Time: 12.2884336s | Clustering Loss: 0.5644201 | ResNet Loss: 0.0246593
####################### 
Epoch [20] | Time: 12.2848549s | Clustering Loss: 0.5977530 | ResNet Loss: 0.0235088
####################### 
