Epoch	Loss	Learning_Rate
Epoch 1	Loss: 2.7278	Learning Rate: 0.001000
Epoch 2	Loss: 1.9032	Learning Rate: 0.001000
Epoch 3	Loss: 1.7268	Learning Rate: 0.001000
Epoch 4	Loss: 1.8202	Learning Rate: 0.001000
Epoch 5	Loss: 1.5199	Learning Rate: 0.001000
Epoch 6	Loss: 1.5329	Learning Rate: 0.001000
Epoch 7	Loss: 1.3856	Learning Rate: 0.001000
Epoch 8	Loss: 1.3803	Learning Rate: 0.001000
Epoch 9	Loss: 1.3350	Learning Rate: 0.001000
Epoch 10	Loss: 1.3168	Learning Rate: 0.001000
Epoch 11	Loss: 1.2296	Learning Rate: 0.001000
Epoch 12	Loss: 1.2176	Learning Rate: 0.001000
Epoch 13	Loss: 1.1038	Learning Rate: 0.001000
Epoch 14	Loss: 1.1308	Learning Rate: 0.001000
Epoch 15	Loss: 1.1816	Learning Rate: 0.001000
Epoch 16	Loss: 0.9441	Learning Rate: 0.001000
Epoch 17	Loss: 0.9700	Learning Rate: 0.001000
Epoch 18	Loss: 0.9619	Learning Rate: 0.001000
Epoch 19	Loss: 0.9823	Learning Rate: 0.001000
Epoch 20	Loss: 0.8703	Learning Rate: 0.001000
Epoch 21	Loss: 0.7923	Learning Rate: 0.001000
Epoch 22	Loss: 0.8149	Learning Rate: 0.001000
Epoch 23	Loss: 0.8533	Learning Rate: 0.001000
Epoch 24	Loss: 0.9073	Learning Rate: 0.001000
Epoch 25	Loss: 0.7689	Learning Rate: 0.001000
Epoch 26	Loss: 0.7096	Learning Rate: 0.001000
Epoch 27	Loss: 0.7047	Learning Rate: 0.001000
Epoch 28	Loss: 0.7653	Learning Rate: 0.001000
Epoch 29	Loss: 0.7544	Learning Rate: 0.001000
Epoch 30	Loss: 0.7175	Learning Rate: 0.001000
Epoch 31	Loss: 0.6577	Learning Rate: 0.001000
Epoch 32	Loss: 0.6451	Learning Rate: 0.001000
Epoch 33	Loss: 0.6081	Learning Rate: 0.001000
Epoch 34	Loss: 0.6821	Learning Rate: 0.001000
Epoch 35	Loss: 0.5293	Learning Rate: 0.001000
Epoch 36	Loss: 0.6573	Learning Rate: 0.001000
Epoch 37	Loss: 0.6472	Learning Rate: 0.001000
Epoch 38	Loss: 0.6388	Learning Rate: 0.001000
Epoch 39	Loss: 0.5858	Learning Rate: 0.001000
Epoch 40	Loss: 0.5983	Learning Rate: 0.001000
Epoch 41	Loss: 0.5309	Learning Rate: 0.001000
Epoch 42	Loss: 0.5480	Learning Rate: 0.001000
Epoch 43	Loss: 0.5964	Learning Rate: 0.001000
Epoch 44	Loss: 0.6237	Learning Rate: 0.001000
Epoch 45	Loss: 0.5485	Learning Rate: 0.001000
Epoch 46	Loss: 0.6674	Learning Rate: 0.001000
Epoch 47	Loss: 0.5235	Learning Rate: 0.001000
Epoch 48	Loss: 0.6144	Learning Rate: 0.001000
Epoch 49	Loss: 0.4770	Learning Rate: 0.001000
Epoch 50	Loss: 0.5153	Learning Rate: 0.001000
Epoch 51	Loss: 0.5342	Learning Rate: 0.001000
Epoch 52	Loss: 0.5838	Learning Rate: 0.001000
Epoch 53	Loss: 0.4379	Learning Rate: 0.001000
Epoch 54	Loss: 0.4706	Learning Rate: 0.001000
Epoch 55	Loss: 0.4452	Learning Rate: 0.001000
Epoch 56	Loss: 0.4753	Learning Rate: 0.001000
Epoch 57	Loss: 0.4365	Learning Rate: 0.001000
Epoch 58	Loss: 0.4814	Learning Rate: 0.001000
Epoch 59	Loss: 0.4762	Learning Rate: 0.001000
Epoch 60	Loss: 0.5061	Learning Rate: 0.001000
Epoch 61	Loss: 0.5144	Learning Rate: 0.001000
