Epoch	Loss	Learning_Rate
Epoch 1	Loss: 3.0295	Learning Rate: 0.001000
Epoch 2	Loss: 2.6767	Learning Rate: 0.001000
Epoch 3	Loss: 2.3708	Learning Rate: 0.001000
Epoch 4	Loss: 2.1764	Learning Rate: 0.001000
Epoch 5	Loss: 2.0043	Learning Rate: 0.001000
Epoch 6	Loss: 1.8327	Learning Rate: 0.001000
Epoch 7	Loss: 1.8955	Learning Rate: 0.001000
Epoch 8	Loss: 1.6582	Learning Rate: 0.001000
Epoch 9	Loss: 1.6179	Learning Rate: 0.001000
Epoch 10	Loss: 1.4636	Learning Rate: 0.001000
Epoch 11	Loss: 1.4016	Learning Rate: 0.001000
Epoch 12	Loss: 1.3746	Learning Rate: 0.001000
Epoch 13	Loss: 1.3466	Learning Rate: 0.001000
Epoch 14	Loss: 1.3620	Learning Rate: 0.001000
Epoch 15	Loss: 1.4681	Learning Rate: 0.001000
Epoch 16	Loss: 1.2138	Learning Rate: 0.001000
Epoch 17	Loss: 1.2414	Learning Rate: 0.001000
Epoch 18	Loss: 1.2483	Learning Rate: 0.001000
Epoch 19	Loss: 1.1145	Learning Rate: 0.001000
Epoch 20	Loss: 1.1057	Learning Rate: 0.001000
Epoch 21	Loss: 1.2439	Learning Rate: 0.001000
Epoch 22	Loss: 1.0538	Learning Rate: 0.001000
Epoch 23	Loss: 1.0651	Learning Rate: 0.001000
Epoch 24	Loss: 1.0354	Learning Rate: 0.001000
Epoch 25	Loss: 1.0388	Learning Rate: 0.001000
Epoch 26	Loss: 1.0534	Learning Rate: 0.001000
Epoch 27	Loss: 0.9986	Learning Rate: 0.001000
Epoch 28	Loss: 0.9595	Learning Rate: 0.001000
Epoch 29	Loss: 0.9405	Learning Rate: 0.001000
Epoch 30	Loss: 0.8849	Learning Rate: 0.001000
Epoch 31	Loss: 0.9104	Learning Rate: 0.001000
Epoch 32	Loss: 0.8758	Learning Rate: 0.001000
Epoch 33	Loss: 0.8193	Learning Rate: 0.001000
Epoch 34	Loss: 0.9381	Learning Rate: 0.001000
Epoch 35	Loss: 0.7655	Learning Rate: 0.001000
Epoch 36	Loss: 0.8246	Learning Rate: 0.001000
Epoch 37	Loss: 0.8577	Learning Rate: 0.001000
Epoch 38	Loss: 0.8356	Learning Rate: 0.001000
Epoch 39	Loss: 0.8169	Learning Rate: 0.001000
Epoch 40	Loss: 0.8240	Learning Rate: 0.001000
